// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
//   MyBenchmark.UseEntityBufferedMessageForeach: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyBenchmark.UseEntity: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)
// *** Execute ***
// Launch: 1 / 2

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.8
// Runtime=.NET 7.0.11 (7.0.1123.42427), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: MediumRun(Toolchain=InProcessNoEmitToolchain, IterationCount=15, LaunchCount=2, WarmupCount=10)

WorkloadPilot    7: 1024 op, 7678800.00 ns, 7.4988 us/op
WorkloadPilot    8: 2048 op, 15062400.00 ns, 7.3547 us/op
WorkloadPilot    9: 4096 op, 29705300.00 ns, 7.2523 us/op
WorkloadPilot   10: 8192 op, 55813300.00 ns, 6.8131 us/op
WorkloadPilot   11: 16384 op, 114219900.00 ns, 6.9714 us/op
WorkloadPilot   12: 32768 op, 219241900.00 ns, 6.6907 us/op
WorkloadPilot   13: 65536 op, 431054500.00 ns, 6.5774 us/op
WorkloadPilot   14: 131072 op, 840431200.00 ns, 6.4120 us/op

OverheadWarmup   1: 131072 op, 498200.00 ns, 3.8010 ns/op
OverheadWarmup   2: 131072 op, 498000.00 ns, 3.7994 ns/op
OverheadWarmup   3: 131072 op, 498000.00 ns, 3.7994 ns/op
OverheadWarmup   4: 131072 op, 498300.00 ns, 3.8017 ns/op
OverheadWarmup   5: 131072 op, 498000.00 ns, 3.7994 ns/op
OverheadWarmup   6: 131072 op, 498100.00 ns, 3.8002 ns/op

OverheadActual   1: 131072 op, 498300.00 ns, 3.8017 ns/op
OverheadActual   2: 131072 op, 497800.00 ns, 3.7979 ns/op
OverheadActual   3: 131072 op, 498000.00 ns, 3.7994 ns/op
OverheadActual   4: 131072 op, 498100.00 ns, 3.8002 ns/op
OverheadActual   5: 131072 op, 602100.00 ns, 4.5937 ns/op
OverheadActual   6: 131072 op, 482900.00 ns, 3.6842 ns/op
OverheadActual   7: 131072 op, 511600.00 ns, 3.9032 ns/op
OverheadActual   8: 131072 op, 486800.00 ns, 3.7140 ns/op
OverheadActual   9: 131072 op, 479700.00 ns, 3.6598 ns/op
OverheadActual  10: 131072 op, 479500.00 ns, 3.6583 ns/op
OverheadActual  11: 131072 op, 493200.00 ns, 3.7628 ns/op
OverheadActual  12: 131072 op, 479500.00 ns, 3.6583 ns/op
OverheadActual  13: 131072 op, 492700.00 ns, 3.7590 ns/op
OverheadActual  14: 131072 op, 485700.00 ns, 3.7056 ns/op
OverheadActual  15: 131072 op, 479500.00 ns, 3.6583 ns/op

WorkloadWarmup   1: 131072 op, 983177000.00 ns, 7.5010 us/op
WorkloadWarmup   2: 131072 op, 937444300.00 ns, 7.1521 us/op
WorkloadWarmup   3: 131072 op, 887889800.00 ns, 6.7741 us/op
WorkloadWarmup   4: 131072 op, 886816000.00 ns, 6.7659 us/op
WorkloadWarmup   5: 131072 op, 965942300.00 ns, 7.3696 us/op
WorkloadWarmup   6: 131072 op, 881269000.00 ns, 6.7235 us/op
WorkloadWarmup   7: 131072 op, 821947600.00 ns, 6.2710 us/op
WorkloadWarmup   8: 131072 op, 808297400.00 ns, 6.1668 us/op
WorkloadWarmup   9: 131072 op, 869239000.00 ns, 6.6318 us/op
WorkloadWarmup  10: 131072 op, 841314400.00 ns, 6.4187 us/op

WorkloadActual   1: 131072 op, 889458500.00 ns, 6.7860 us/op
WorkloadActual   2: 131072 op, 819447300.00 ns, 6.2519 us/op
WorkloadActual   3: 131072 op, 756952600.00 ns, 5.7751 us/op
